Gene	fit_value	Predicted_Proximal_APA	Loci	Synthego_Wildtype_1_30_S1.sorted_PDUI	Synthego_Wildtype_1_32_S3.sorted_PDUI	Synthego_Wildtype_2_2_S5.sorted_PDUI	Synthego_Wildtype_24hour_A_S58.sorted_PDUI	Synthego_Wildtype_24hour_B_S53.sorted_PDUI	Synthego_Wildtype_24hour_C_S48.sorted_PDUI	Synthego_Wildtype_4hour_A1_S45.sorted_PDUI	Synthego_Wildtype_4hour_A2_S46.sorted_PDUI	Synthego_Wildtype_4hour_B_S51.sorted_PDUI	Synthego_Wildtype_4hour_C_S52.sorted_PDUI	Synthego_Wildtype_Control_A_S44.sorted_PDUI	Synthego_Wildtype_Control_B_S60.sorted_PDUI	Synthego_Wildtype_Control_C_S47.sorted_PDUI	Synthego_Wildtype_Cytoplasm1_S68.sorted_PDUI	Synthego_Wildtype_Cytoplasm2_S69.sorted_PDUI	Synthego_Wildtype_Cytoplasm3_S70.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_2_S19.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_3_S20.sorted_PDUI	Synthego_Wildtype_Ethanol_Control_4_S21.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_2_S25.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_3_S26.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_24hour_4_S27.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_2_S22.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_3_S23.sorted_PDUI	Synthego_Wildtype_Ethanol_Treated_3hour_4_S24.sorted_PDUI	Synthego_Wildtype_Nuclear1_S62.sorted_PDUI	Synthego_Wildtype_Nuclear2_S63.sorted_PDUI	Synthego_Wildtype_Nuclear3_S64.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_2_S7.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_3_S8.sorted_PDUI	Synthego_Wildtype_Peroxide_Control_4_S9.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_2_S10.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_3_S11.sorted_PDUI	Synthego_Wildtype_Peroxide_Treated_3hour_4_S12.sorted_PDUI	mean	sd
NM_001319118.2|DNPEP|chr2|-	618.1	219374052	chr2:219372043-219374342	0.02	0.04	0.02	0.02	0.04	0.02	0.04	0.04	0.04	0.04	0.04	0.05	0.02	0.14	0.1	0.07	0.04	0.04	0.03	0.04	0.03	0.02	0.03	0.05	0.06	0.38	0.09	0.07	0.01	0.03	0.03	0.03	0.02	0.03	0.0520588235294118	0.0636171985400892
NM_001374294.1|GMPPA|chr2|+	5731	219506849	chr2:219506698-219506989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001173408.2|OBSL1|chr2|-	25076.5	219561857	chr2:219561722-219562008	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0.823529411764706	0.386952994975947
NM_005687.5|FARSB|chr2|-	4259.4	222571744	chr2:222566899-222572022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_017003110.2|FARSB|chr2|-	135494.5	222571871	chr2:222571743-222572022	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0.941176470588235	0.238832573610613
NM_001354159.2|ACSL3|chr2|+	106079.2	222942226	chr2:222941497-222944639	0	0.01	0	0.03	0.03	0.02	0.04	0.03	0.03	0	0	0	0.03	0	0.01	0.02	0.03	0.03	0.04	0.04	0.05	0.04	0.04	0.03	0.04	0.09	0.07	0	0	0	0	0.04	0	0	0.0232352941176471	0.022390553775995
XM_005246688.2|MFF|chr2|+	6591.3	227357180	chr2:227356986-227357833	0.06	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.05	0.06	0.04	0.05	0.04	0.04	0.04	0.04	0.03	0.03	0.02	0.05	0.09	0.05	0.03	0.04	0.02	0.03	0.02	0.03	0.0397058823529412	0.0133678252617306
NM_020194.5|MFF|chr2|+	6572.3	227357180	chr2:227356986-227357836	0.06	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.05	0.06	0.04	0.05	0.04	0.04	0.04	0.04	0.03	0.03	0.02	0.05	0.09	0.05	0.03	0.04	0.02	0.03	0.02	0.03	0.0397058823529412	0.0133678252617306
NM_001130046.2|CCL20|chr2|+	726823.1	227817213	chr2:227817062-227817556	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0.676470588235294	0.474858079933817
NM_005381.3|NCL|chr2|-	322656.1	231454747	chr2:231453531-231455267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_002823.5|PTMA|chr2|+	257985.6	231712955	chr2:231712804-231713551	0.49	0.52	0.43	0.13	0.09	0.21	0.14	0.21	0.14	0.07	0.23	0.09	0.19	0.24	0.3	0.32	0.11	0.15	0.16	0.11	0.1	0.12	0.12	0.13	0.11	0.06	0.1	0.13	0.08	0.07	0.06	0.08	0.06	0.08	0.165588235294118	0.119270285777803
NM_001330201.2|EIF4E2|chr2|+	46533.5	232569096	chr2:232568945-232569210	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001394207.1|SNORC|chr2|+	531.5	232876401	chr2:232876247-232878686	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.02	0	0	0.01	0.01	0	0.01	0.01	0	0.00823529411764706	0.00458626951810419
XM_017004083.2|SNORC|chr2|+	531.5	232876401	chr2:232876247-232878686	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.02	0	0	0.01	0.01	0	0.01	0.01	0	0.00823529411764706	0.00458626951810419
NM_018410.5|HJURP|chr2|-	2860	233837380	chr2:233836702-233837652	0.01	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0	0.02	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0	0.02	0.06	0.01	0.01	0.01	0.01	0.01	0.01	0.00764705882352941	0.011297310897359
XM_011511437.1|HJURP|chr2|-	17228.2	233837501	chr2:233837352-233837652	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0.529411764705882	0.506640397104899
NM_001163424.2|COPS9|chr2|-	127514.3	240130937	chr2:240130828-240131088	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
XM_017004229.1|ANO7|chr2|+	73.1	241239542	chr2:241239391-241239602	0	0	0	0.25	0	0	0	0	0.24	0.64	0.57	0	0	0.84	0.94	0.86	0.35	0	0	0.44	0	0	0	0.36	0	0.8	0.75	0.92	0	0	0.49	0.49	0	0	0.262941176470588	0.339674794666763
XM_024452926.1|SEPTIN2|chr2|+	4329.2	241352557	chr2:241351967-241354027	0.08	0.03	0.06	0.07	0.06	0.04	0	0.03	0.05	0.07	0.07	0.06	0.05	0.08	0.09	0.06	0.06	0.1	0.05	0.06	0.04	0.03	0.08	0.1	0.05	0.23	0.16	0.07	0.04	0.04	0.05	0.05	0.03	0.03	0.0638235294117647	0.0406026350751348
XM_017004205.2|SEPTIN2|chr2|+	4456.2	241352557	chr2:241351943-241354027	0.08	0.03	0.06	0.07	0	0	0	0	0.05	0.07	0	0.06	0.05	0.08	0.09	0.06	0.05	0.1	0.04	0.06	0.04	0.03	0.08	0.1	0.05	0.23	0.16	0.07	0	0.04	0.05	0.05	0.03	0.03	0.0561764705882353	0.0463853886269682
NM_001164356.2|THAP4|chr2|-	151170.6	241584574	chr2:241584405-241584725	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	0.676470588235294	0.474858079933817
NM_003915.6|CPNE1|chr20|-	50464.1	35626230	chr20:35626044-35626381	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NR_003605.2|ZFAS1|chr20|+	1018614.1	49289208	chr20:49289045-49289260	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_002836.4|PTPRA|chr20|+	698.9	3038360	chr20:3038059-3038669	0.23	0.12	0.1	0	0	0.14	0	0	0.2	0.13	0.18	0.23	0.2	0.09	0.08	0.28	0.17	0.28	0.04	0.19	0	0.13	0.2	0.25	0.24	0.26	0.07	0.26	0	0.16	0.21	0.32	0	0.35	0.150294117647059	0.104547663310776
NM_001207047.3|ATRN|chr20|+	8197.5	3616002	chr20:3615828-3616058	0	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0.441176470588235	0.503994737261378
NM_005116.6|SLC23A2|chr20|-	27.7	4857053	chr20:4852358-4857204	0	0	0	0.13	0	0	0.13	0	0	0.11	0	0	0	0.06	0.07	0.1	0.19	0.15	0.26	0.18	0.16	0.18	0.25	0.25	0.19	0.03	0.09	0.06	0.12	0.26	0.19	0.14	0	0.17	0.102058823529412	0.0899757344986634
NM_001323562.2|CRLS1|chr20|+	16863.6	6037393	chr20:6037074-6038066	0.06	0.02	0.03	0.04	0	0.04	0	0.02	0	0.05	0.06	0	0.03	0	0.05	0.04	0.05	0.07	0.05	0.04	0.04	0.06	0.04	0.05	0.04	0	0.19	0	0.05	0.02	0.02	0.02	0	0.02	0.0352941176470588	0.0347489083427961
XR_001754297.2|CRLS1|chr20|+	17240.6	6037393	chr20:6037074-6038044	0.05	0.02	0.02	0.04	0	0.03	0	0.02	0	0.04	0.05	0	0.03	0	0.04	0.03	0.05	0.06	0.04	0.04	0.04	0.05	0.03	0.05	0.04	0	0.17	0	0.04	0.02	0.02	0.02	0	0.02	0.0311764705882353	0.0307250471195588
NM_021156.4|TMX4|chr20|-	31.7	7982470	chr20:7977346-7982621	0	0	0	0.08	0.23	0	0	0	0	0	0	0.11	0.24	0.05	0.14	0.19	0.12	0.21	0.16	0.12	0.22	0.16	0.16	0.11	0.24	0.05	0.05	0.07	0.05	0.11	0.08	0.12	0.06	0.07	0.0941176470588235	0.0793197459866508
NM_016649.4|ESF1|chr20|-	73	13715008	chr20:13714325-13715167	0	0	0	0	0.51	0	0	0	0	0	0	0.26	0	0	0.26	0	0.58	0.72	0	0.39	0.26	0.43	0.55	0.3	0.22	0.17	0.4	0	0.4	0.22	0	0.39	0.27	0.39	0.197647058823529	0.216151725941411
XM_017027874.2|ESF1|chr20|-	67.2	13715008	chr20:13714328-13715167	0	0	0	0	0.49	0	0	0	0	0	0	0.25	0	0	0.25	0	0.56	0.68	0	0.38	0.25	0.41	0.54	0.29	0.21	0.17	0.4	0	0.39	0.22	0	0.38	0.25	0.38	0.191176470588235	0.208454118284072
NM_014426.4|SNX5|chr20|-	33920.7	17942214	chr20:17941600-17942407	0.16	0.08	0.12	0.13	0.11	0.12	0.1	0.12	0.12	0.11	0.13	0.1	0.11	0.33	0.22	0.17	0.12	0.11	0.09	0.1	0.07	0.08	0.08	0.09	0.06	0.2	0.2	0.14	0.08	0.05	0.04	0.05	0.05	0.06	0.114705882352941	0.0580613726555996
NM_016652.6|CRNKL1|chr20|-	749.1	20036142	chr20:20034368-20036362	0.19	0.09	0	0.2	0.13	0.17	0	0	0.17	0.2	0.23	0.16	0.19	0	0.16	0.2	0.23	0.16	0.13	0.21	0.17	0.2	0.14	0.16	0.15	0	0.31	0.22	0.18	0.17	0.19	0.19	0.19	0.17	0.154705882352941	0.0747616533580834
XM_005260336.5|RALY|chr20|+	24377	34080061	chr20:34079910-34080261	1	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	0.647058823529412	0.485071250072666
NM_007367.4|RALY|chr20|+	5523.7	34080261	chr20:34079910-34084884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006723852.3|RPN2|chr20|+	91884.1	37241454	chr20:37241303-37241619	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.76	0.78	0.94	1	1	1	1	1	1	0.984705882352941	0.0554996748075456
XM_006723851.3|RPN2|chr20|+	95207.1	37241454	chr20:37241303-37241623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.77	0.79	0.95	1	1	1	1	1	1	0.985588235294118	0.0529259732577143
NM_001324303.2|RPN2|chr20|+	98532	37241459	chr20:37241308-37241619	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.82	0.83	1	1	1	1	1	1	1	0.989705882352941	0.0418138221396362
NM_001303459.3|IFT52|chr20|+	3111.4	43647211	chr20:43646936-43647299	1	0.97	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0.9	1	0.96	0.93	1	0.97	0.903823529411765	0.286240148232027
XM_017027863.2|IFT52|chr20|+	5986.8	43647087	chr20:43646936-43647227	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0.911764705882353	0.287902241281237
NM_001363741.2|ZMYND8|chr20|-	164429.7	47210428	chr20:47209214-47210897	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0	0	0	0	0.02	0.02	0	0.02	0.02	0.01	0	0	0.01	0	0	0.02	0.00617647058823529	0.00779071159559738
NM_018683.4|RNF114|chr20|+	2462.1	49952227	chr20:49952076-49953885	0.01	0	0.01	0.01	0	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0.01	0	0	0.01	0.01	0	0.02	0.03	0.01	0	0	0	0	0	0	0.00529411764705882	0.00706476280141699
XM_024451872.1|GNAS|chr20|+	32449.3	58910834	chr20:58910683-58911192	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0.676470588235294	0.474858079933817
NM_001309861.2|GNAS|chr20|+	31090.7	58910834	chr20:58910683-58911189	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	1	0	0	1	0.676470588235294	0.474858079933817
XM_011528792.3|SLCO4A1|chr20|+	279.8	62672617	chr20:62672456-62673090	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0.01	0.00264705882352941	0.00447811075519899
NM_003091.4|SNRPB|chr20|-	2717107.3	2461788	chr20:2461642-2461939	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_006392.4|NOP56|chr20|+	139401.9	2658080	chr20:2657929-2658393	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.970588235294118	0.171498585142509
NM_006899.5|IDH3B|chr20|-	36054.4	2658686	chr20:2658395-2658837	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_080413.3|VPS16|chr20|+	4035.6	2866581	chr20:2866430-2866732	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0.323529411764706	0.474858079933817
NM_023935.3|DDRGK1|chr20|-	55496.1	3190520	chr20:3190350-3190819	0.43	0.62	0.33	0.74	0.8	0.88	0.29	0.58	0.76	0.85	0.9	0.57	0.83	0.38	0.32	0.3	0.68	0.42	0.39	0.36	0.58	0.48	0.69	0.44	0.45	0.57	0.42	0.26	0.53	0.68	0.58	0.74	0.53	0.76	0.562941176470588	0.187560566569595
NM_024960.6|PANK2|chr20|+	1226.2	3923798	chr20:3923244-3927311	0	0	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0.01	0	0.01	0.01	0.01	0	0	0	0	0	0.01	0.00294117647058824	0.0046249729006288
NM_182649.2|PCNA|chr20|-	89259.5	5115211	chr20:5114953-5115362	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.911764705882353	0.287902241281237
NM_001394149.1|MKKS|chr20|-	12357	10413709	chr20:10413529-10413931	0.14	0.16	0.2	0.12	0.2	0.19	0.15	0.18	0.1	0.12	0.2	0.32	0.07	0.2	0.11	0.15	0.18	0.17	0.13	0.18	0.15	0.12	0.2	0.13	0.15	0.14	0.13	0.07	0.14	0.13	0.12	0.15	0.11	0.18	0.152647058823529	0.0463392512154497
XR_001754396.1|NDUFAF5|chr20|+	33.7	13817269	chr20:13817118-13821580	0.01	0.01	0	0	0.01	0.01	0.01	0	0.02	0.01	0	0	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0	0	0.01	0.01	0	0.03	0.04	0.03	0.01	0.01	0.01	0	0.01	0	0.00941176470588235	0.00951591218277217
XM_006723624.2|NDUFAF5|chr20|+	267.2	13817269	chr20:13817118-13817663	0.01	0.04	0	0	0.04	0	0.03	0.01	0	0	0	0	0.02	0.02	0.04	0.08	0.03	0.02	0	0.03	0	0	0.03	0.01	0	0	0	0	0	0.04	0	0.02	0.01	0	0.0141176470588235	0.0187677426451044
XR_430269.3|NDUFAF5|chr20|+	39.4	13817269	chr20:13817118-13820822	0.01	0.01	0	0	0.01	0.01	0.01	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0	0	0.01	0.02	0.02	0	0.01	0	0	0	0	0.00617647058823529	0.00603761235285532
XM_024451999.1|NDUFAF5|chr20|+	275.4	13817269	chr20:13817118-13817647	0.01	0.05	0	0	0.04	0	0.03	0.01	0	0	0	0	0.02	0.02	0.04	0.08	0.03	0.02	0	0.03	0	0	0.04	0.01	0	0	0	0	0	0.05	0	0.02	0.01	0	0.015	0.0200378429855898
NM_198220.3|SNRPB2|chr20|+	80090.7	16741219	chr20:16740846-16742564	0.03	0.01	0.02	0.03	0.02	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.03	0.03	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.0229411764705882	0.00578891928193535
XM_011529144.1|DSTN|chr20|+	8885	17607326	chr20:17607037-17608242	0.62	0.46	0.47	0.51	0.69	0.66	0.47	0.51	0.58	0.6	0.48	0.55	0.38	0.52	0.37	0.47	0.49	0.64	0.59	0.55	0.52	0.68	0.59	0.51	0.5	0.41	0.27	0.43	0.54	0.62	0.55	0.74	0.67	0.59	0.536176470588235	0.101115436758203
NM_006870.4|DSTN|chr20|+	10847.4	17608242	chr20:17607037-17609919	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0.01	0	0.01	0.01	0	0	0.08	0.04	0.03	0.01	0.01	0.01	0.01	0	0	0.00911764705882353	0.0152489735489278
NM_001365613.2|RRBP1|chr20|-	16848.5	17614069	chr20:17613679-17614220	0.9	0.45	0.49	0.51	0.48	0.56	0.88	0.68	0.69	0.53	0.69	0.57	0.58	1	1	1	0.9	0.65	0.57	0.48	0.43	0.41	0.65	0.55	0.51	1	1	1	0.57	0.61	0.38	0.61	0.5	0.47	0.655882352941176	0.203903091168906
NM_032986.5|SEC23B|chr20|+	19772.6	18561122	chr20:18560651-18561415	0.14	0.09	0.11	0.09	0.12	0.11	0	0.07	0.08	0.11	0.11	0	0.09	0	0.12	0	0.13	0.12	0.1	0.09	0	0.11	0.06	0.08	0.09	0	0.07	0	0	0	0.09	0.08	0	0.11	0.0697058823529412	0.0487097335875239
XM_017027593.1|SEC23B|chr20|+	19869.8	18561122	chr20:18560651-18561411	0.14	0.1	0.11	0.09	0.12	0.11	0	0.07	0.08	0.12	0.11	0	0.09	0	0.12	0	0.13	0.12	0.1	0.09	0	0.11	0.06	0.08	0.1	0	0.08	0	0	0	0.09	0.08	0	0.11	0.0708823529411765	0.0493206974230485
NM_001348957.2|SMIM26|chr20|+	51282.3	18569387	chr20:18569236-18569560	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001348958.2|SMIM26|chr20|+	73308.1	18569390	chr20:18569239-18569611	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NR_001558.3|LINC00261|chr20|-	50.6	22564496	chr20:22560553-22565116	0.08	0.03	0.06	0	0	0.07	0.07	0.11	0	0.08	0.07	0.07	0	0.06	0.07	0.12	0.07	0	0.07	0.13	0.04	0.1	0.07	0.08	0.05	0.06	0.11	0	0	0	0.17	0.17	0.11	0.13	0.0661764705882353	0.0484933426160217
NM_000099.4|CST3|chr20|-	1137945.3	23633848	chr20:23633657-23633999	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_030789.4|HM13|chr20|+	3954.8	31569271	chr20:31569120-31569543	1	1	0	1	0	0	1	1	0	1	0	0	1	0.98	0.66	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0.695294117647059	0.459223556135575
NM_001164603.1|ASXL1|chr20|+	2803.5	32372315	chr20:32372164-32372549	0.77	0.52	0.82	0.66	0.8	1	0.63	0.81	0.63	0.97	0.86	0.71	0.61	0.47	0.51	0.54	0.7	0.39	0.47	0.48	0.59	0.69	0.7	0.56	0.46	0.5	0.7	0.42	0.9	0.89	0.69	0.65	0.41	0.81	0.656470588235294	0.166257965914258
NM_025227.3|BPIFB2|chr20|+	48516.5	33023493	chr20:33023342-33023703	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0.941176470588235	0.238832573610613
XM_017027877.1|CDK5RAP1|chr20|-	12174.5	33358972	chr20:33358839-33359123	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0.411764705882353	0.499554168435642
NM_003908.5|EIF2S2|chr20|-	495362.2	34089430	chr20:34088309-34089905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_017028118.1|EIF2S2|chr20|-	141301.2	34089754	chr20:34089431-34089905	1	1	0	1	0	1	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0.588235294117647	0.499554168435642
XM_011528656.3|AHCY|chr20|-	206788.3	34280499	chr20:34280265-34280650	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_001362750.2|AHCY|chr20|-	198973.1	34280499	chr20:34280268-34280650	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_181468.2|EIF6|chr20|-	873164.1	35279055	chr20:35278906-35279206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_181466.3|EIF6|chr20|-	730176.4	35279055	chr20:35278918-35279206	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_015966.3|ERGIC3|chr20|+	105711.9	35557577	chr20:35557425-35557634	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
NM_003116.3|SPAG4|chr20|+	81.8	35621041	chr20:35620876-35621094	0	0	0.38	0.28	0	0	0	0	0	0	0.53	0.25	0	0	0	0	0.17	0	0	0.71	0	0	0.36	0.39	0.29	0	0.17	0	0	0.41	0.38	0.25	0	0.3	0.143235294117647	0.195505879757126
NM_001323423.2|RBM39|chr20|-	47711.1	35703609	chr20:35701347-35704581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.000294117647058824	0.00171498585142509
XM_017028147.1|RBM39|chr20|-	8163.8	35704430	chr20:35703609-35704581	1	0.91	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0.879705882352941	0.326417517486309
XM_024452022.1|RBM39|chr20|-	7604.1	35704430	chr20:35703615-35704581	1	0.88	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0.878823529411765	0.326373690876358
XM_024452024.1|RBM39|chr20|-	5991.1	35704376	chr20:35703631-35704581	1	0.59	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.94	1	1	0.89	1	0	0	1	0.72	1	0.857058823529412	0.328795132049092
XR_001754439.2|RBM39|chr20|-	723.8	35704430	chr20:35704326-35704581	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0.882352941176471	0.327034970083864
NR_152754.1|SNHG17|chr20|-	3286.5	38420749	chr20:38420588-38420900	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0.911764705882353	0.287902241281237
NR_109889.1|PLCG1-AS1|chr20|-	59.2	41098673	chr20:41097994-41098824	0	0.07	0	0.08	0	0	0.13	0.18	0.11	0.23	0.09	0	0	0	0	0.23	0.2	0.46	0.34	0.41	0.44	0.23	0.52	0.36	0.31	0.05	0.06	0.08	0.16	0.49	0.41	0.55	0.34	0.26	0.199705882352941	0.177567491123075
NM_139323.4|YWHAB|chr20|+	95740.8	44906533	chr20:44906382-44908532	0.03	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.04	0.05	0.04	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.04	0.04	0.04	0.04	0.04	0.05	0.0285294117647059	0.00988796419932486
